stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
626,,86 St,,40.779492,-73.955589,,,1,
626N,,86 St,,40.779492,-73.955589,,,0,626
626S,,86 St,,40.779492,-73.955589,,,0,626
627,,77 St,,40.77362,-73.959874,,,1,
627N,,77 St,,40.77362,-73.959874,,,0,627
627S,,77 St,,40.77362,-73.959874,,,0,627
628,,68 St - Hunter College,,40.768141,-73.96387,,,1,
628N,,68 St - Hunter College,,40.768141,-73.96387,,,0,628
628S,,68 St - Hunter College,,40.768141,-73.96387,,,0,628
629,,59 St,,40.762526,-73.967967,,,1,
629N,,59 St,,40.762526,-73.967967,,,0,629
629S,,59 St,,40.762526,-73.967967,,,0,629
630,,51 St,,40.757107,-73.97192,,,1,
630N,,51 St,,40.757107,-73.97192,,,0,630
630S,,51 St,,40.757107,-73.97192,,,0,630
631,,Grand Central - 42 St,,40.751776,-73.976848,,,1,
631N,,Grand Central - 42 St,,40.751776,-73.976848,,,0,631
631S,,Grand Central - 42 St,,40.751776,-73.976848,,,0,631
632,,33 St,,40.746081,-73.982076,,,1,
632N,,33 St,,40.746081,-73.982076,,,0,632
632S,,33 St,,40.746081,-73.982076,,,0,632
633,,28 St,,40.74307,-73.984264,,,1,
633N,,28 St,,40.74307,-73.984264,,,0,633
633S,,28 St,,40.74307,-73.984264,,,0,633
634,,23 St,,40.739864,-73.986599,,,1,
634N,,23 St,,40.739864,-73.986599,,,0,634
634S,,23 St,,40.739864,-73.986599,,,0,634
635,,14 St - Union Sq,,40.734673,-73.989951,,,1,
635N,,14 St - Union Sq,,40.734673,-73.989951,,,0,635
635S,,14 St - Union Sq,,40.734673,-73.989951,,,0,635
636,,Astor Pl,,40.730054,-73.99107,,,1,
636N,,Astor Pl,,40.730054,-73.99107,,,0,636
636S,,Astor Pl,,40.730054,-73.99107,,,0,636
